Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
1E7,31.0,7.513999999999999,SHWR,1.526,52.210499999999996,731.11,11.110000000000014,0.8407377029598898,1.2829657347167918,9.640204530661972,731.2352333333333,1.0,11.466363999999999
1E1,32.0,16.245,SHWR,2.0,52.174,752.79,8.789999999999964,0.8408302295228091,1.6816604590456181,27.318574157196068,753.06075,1.0,32.49
1E9,32.0,6.287999999999999,SHWR,2.0,52.174,760.02,16.019999999999982,0.8408302295228091,1.6816604590456181,10.574280966478845,760.1247999999999,1.0,12.575999999999999
1E1,32.0,5.502000000000001,SHWR,1.611,52.174,765.79,21.789999999999964,0.8408302295228091,1.3545774997612454,7.452885403686373,765.8816999999999,1.0,8.863722000000001
4D6,33.0,7.211,SHWR,1.88,52.2,775.29,7.289999999999964,0.8407643312101911,1.5806369426751592,11.397972993630573,775.4101833333333,1.0,13.55668
4D9,33.0,11.005,SHWR,1.464,52.2,777.86,9.860000000000014,0.8407643312101911,1.2308789808917198,13.545823184713377,778.0434166666666,1.0,16.11132
4D6,33.0,6.837999999999999,SHWR,1.84,52.2,779.3,11.299999999999955,0.8407643312101911,1.5470063694267517,10.578429554140127,779.4139666666666,1.0,12.581919999999998
4D6,33.0,3.6060000000000003,SHWR,1.5830000000000002,52.2,780.82,12.82000000000005,0.8407643312101911,1.3309299363057328,4.799333350318473,780.8801000000001,1.0,5.708298000000001
4D6,33.0,8.081,SHWR,1.893,52.2,784.48,16.480000000000018,0.8407643312101911,1.5915668789808919,12.861451949044586,784.6146833333333,1.0,15.297333
4D9,33.0,13.100999999999999,SHWR,2.0,52.2,786.84,18.840000000000032,0.8407643312101911,1.6815286624203822,22.029707006369428,787.05835,1.0,26.201999999999998
4D9,33.0,4.8469999999999995,SHWR,2.0,52.2,787.41,19.409999999999968,0.8407643312101911,1.6815286624203822,8.150369426751592,787.4907833333333,1.0,9.693999999999999
4D9,33.0,3.668,SHWR,2.0,52.2,788.6,20.600000000000023,0.8407643312101911,1.6815286624203822,6.167847133757962,788.6611333333334,1.0,7.336
4D9,33.0,2.62,SHWR,2.0,52.2,788.79,20.789999999999964,0.8407643312101911,1.6815286624203822,4.405605095541402,788.8336666666667,1.0,5.24
4D7,34.0,3.275,SHWR,2.0,52.254000000000005,798.5,6.5,0.8406272909826921,1.6812545819653841,5.506108755936633,798.5545833333333,1.0,6.55
2D4,34.0,4.476,SHWR,2.0,52.254000000000005,800.47,8.470000000000027,0.8406272909826921,1.6812545819653841,7.5252955088770594,800.5446000000001,1.0,8.952
4D7,34.0,0.0,SHWR,1.632,52.254000000000005,812.63,20.629999999999995,0.8406272909826921,1.3719037388837534,0.0,812.63,3.0,0.0
4D7,34.0,7.2050000000012915,SHWRSHWR,3.442,52.254000000000005,812.63,20.629999999999995,0.8406272909826921,2.893439135562426,20.847228971731017,812.7500833333334,3.0,24.799610000004446
